customer_id,full_name,age,gender,city,account_open_date
1,Anita Verma,22,Female,Hyderabad,2018-07-03
2,Sneha Verma,64,Male,Lucknow,2020-09-24
3,Rahul Sharma,26,Male,Hyderabad,2021-08-31
4,Pooja Sharma,56,Male,Jaipur,2020-09-14
5,Priya Patel,58,Female,Mumbai,2017-10-15
6,Meera Kapoor,42,Female,Bangalore,2018-05-31
7,Sanjay Singh,27,Male,Pune,2017-01-31
8,Arjun Singh,59,Female,Mumbai,2024-03-07
9,Vikram Agarwal,28,Female,Delhi,2022-03-11
10,Karan Nair,44,Male,Delhi,2025-07-06
11,Anita Reddy,39,Male,Hyderabad,2017-02-17
12,Neha Mehta,50,Female,Bangalore,2020-02-25
13,Arjun Reddy,63,Female,Delhi,2022-10-31
14,Anita Gupta,55,Male,Bangalore,2021-03-08
15,Neha Mehta,61,Male,Kolkata,2025-08-17
16,Priya Sharma,41,Female,Chennai,2025-09-28
17,Priya Nair,41,Male,Ahmedabad,2020-06-08
18,Ritu Patel,30,Female,Bangalore,2018-10-07
19,Meera Agarwal,55,Female,Lucknow,2020-10-20
20,Ritu Nair,46,Female,Hyderabad,2017-07-20
21,Rohit Patel,26,Male,Delhi,2017-09-18
22,Anita Gupta,64,Female,Lucknow,2025-09-17
23,Neha Kapoor,59,Female,Jaipur,2018-10-26
24,Rohit Sharma,64,Male,Jaipur,2018-12-28
25,Sanjay Singh,28,Female,Pune,2017-10-09
26,Vikram Sharma,37,Male,Jaipur,2017-03-11
27,Deepak Mehta,61,Male,Bangalore,2020-03-11
28,Sanjay Gupta,55,Male,Lucknow,2019-08-20
29,Vikram Sharma,28,Female,Chennai,2018-09-07
30,Rahul Reddy,57,Male,Delhi,2024-03-16
31,Vikram Verma,55,Male,Bangalore,2023-05-26
32,Vikram Agarwal,31,Female,Jaipur,2022-10-20
33,Neha Reddy,55,Male,Chennai,2020-06-22
34,Anita Singh,49,Female,Delhi,2018-10-12
35,Priya Verma,42,Male,Lucknow,2022-03-18
36,Priya Nair,35,Male,Delhi,2023-12-09
37,Anita Sharma,35,Male,Mumbai,2019-09-15
38,Amit Agarwal,36,Female,Ahmedabad,2018-05-27
39,Rohit Gupta,57,Female,Hyderabad,2021-04-21
40,Sanjay Kapoor,33,Male,Delhi,2023-05-23
41,Neha Singh,48,Female,Ahmedabad,2024-03-05
42,Rahul Verma,24,Female,Kolkata,2017-03-23
43,Priya Reddy,33,Female,Bangalore,2020-09-24
44,Sneha Mehta,50,Male,Delhi,2020-12-20
45,Sanjay Agarwal,27,Male,Jaipur,2025-03-01
46,Amit Reddy,31,Female,Ahmedabad,2021-05-25
47,Priya Kapoor,24,Male,Pune,2025-01-09
48,Neha Mehta,50,Female,Pune,2023-10-24
49,Meera Agarwal,63,Female,Bangalore,2018-02-16
50,Karan Reddy,24,Male,Kolkata,2025-08-22
51,Rahul Nair,51,Male,Mumbai,2021-09-11
52,Amit Gupta,25,Male,Hyderabad,2020-07-11
53,Amit Nair,36,Male,Lucknow,2025-12-01
54,Neha Nair,57,Female,Chennai,2018-04-16
55,Anita Singh,36,Female,Pune,2017-06-20
56,Anita Mehta,50,Female,Delhi,2025-02-08
57,Vikram Nair,57,Male,Delhi,2022-01-11
